0 10/24/2023 02:19:01 AM	 I DONT WANNA BE THUS WAY.
0 10/24/2023 02:19:10 AM	 Ok im just joking wtf is going on
0 10/24/2023 02:19:24 AM	 That was all just a prank
0 10/24/2023 02:20:15 AM	 N**** BYE
0 10/24/2023 02:20:17 AM	 DELETE THAT
0 10/24/2023 02:20:19 AM	 ?????
1 10/24/2023 02:20:42 AM	 9% slave…..
1 10/24/2023 02:21:01 AM	 ok good
1 10/24/2023 02:21:39 AM	 Adri.
0 10/24/2023 02:21:44 AM	 Yes
1 10/24/2023 02:21:46 AM	 hi
1 10/24/2023 02:08:39 AM	 tell me why you’re angry 
0 10/24/2023 02:08:52 AM	 I’m not even angry 
1 10/24/2023 02:08:57 AM	 what are you
0 10/24/2023 02:09:02 AM	 I’m ok
0 10/24/2023 02:09:09 AM	 I hope u have the night u deserve
1 10/24/2023 02:09:21 AM	 what?????????????
1 10/24/2023 02:09:28 AM	 Adri are you losing your mind 
0 10/24/2023 02:09:47 AM	 No stop don’t say that…..
0 10/24/2023 02:09:55 AM	 Good night
1 10/24/2023 02:09:57 AM	 insane 
1 10/24/2023 02:10:00 AM	 Adri 
0 10/24/2023 02:10:07 AM	 What
1 10/24/2023 02:10:07 AM	 is this because i sent that post??!??
1 10/24/2023 02:10:16 AM	 is this why your epissed 
0 10/24/2023 02:10:26 AM	 NO EVERYTHING ISNT ABOUT YOU IDGAF THAT. YKU WANNA FUCK 15 YEAR OLD GIRLS
1 10/24/2023 02:10:32 AM	 I DONT?????
0 10/24/2023 02:10:36 AM	 YIU CAN BE A PEDOPHILE RAPIST ZOOPHILE FOR ALL I CARE
0 10/24/2023 02:10:42 AM	 I DONT CARE???
1 10/24/2023 02:10:46 AM	 zoophile??????????????????
1 10/24/2023 02:11:04 AM	 ??????? then why are you angry 
0 10/24/2023 02:11:06 AM	 Why is that ghe only one u deny
0 10/24/2023 02:11:10 AM	 BECAUSE I AM????
1 10/24/2023 02:11:11 AM	 😹
0 10/24/2023 02:11:16 AM	 I Have rights in this country
1 10/24/2023 02:11:17 AM	 chill 
1 10/24/2023 02:11:22 AM	 take some deep breaths 
0 10/24/2023 02:11:33 AM	 Ok I will take deep breaths if I want to
0 10/24/2023 02:11:47 AM	 WHATEVE MATEO
0 10/24/2023 02:11:52 AM	 Ima cry today is such a weird day.
1 10/24/2023 02:11:57 AM	 i’m not a rapist or a pedophile 
1 10/24/2023 02:12:13 AM	 Adri what the hell are you on about 
1 10/24/2023 02:12:20 AM	 you’re actually insane 😭😭
1 10/24/2023 02:12:32 AM	 bitch just messaged me telling me wished i got run over 😭😭😭😭
0 10/24/2023 02:14:36 AM	 Ok have a good night 
1 10/24/2023 02:14:40 AM	 no?
0 10/24/2023 02:14:43 AM	 Yes
1 10/24/2023 02:14:52 AM	 are you fucking bipolar???
1 10/24/2023 02:14:58 AM	 we was chilling one second 
0 10/24/2023 02:15:02 AM	 IM NOT BIPOLAR ?
1 10/24/2023 02:15:06 AM	 the next you’re throwing a damn tantrum 
0 10/24/2023 02:15:09 AM	 Okay whatever 
1 10/24/2023 02:15:14 AM	 don’t whatever me???
0 10/24/2023 02:15:16 AM	 Am i the problem 
0 10/24/2023 02:15:19 AM	 No….
1 10/24/2023 02:15:20 AM	 YES
1 10/24/2023 13:17:44 PM	 does he work a lot 
1 10/24/2023 13:17:50 PM	 or is he just a bad dad 
0 10/24/2023 13:17:56 PM	 Idk both
0 10/24/2023 13:18:03 PM	 I raised myself and mu siblings
0 10/24/2023 13:18:11 PM	 He doesn’t really do a lot
0 10/24/2023 13:18:15 PM	 And I don’t see him often
1 10/24/2023 13:18:22 PM	 that’s sad 
0 10/24/2023 13:18:34 PM	 Yea
0 10/24/2023 13:18:36 PM	 Jext 
1 10/24/2023 13:18:52 PM	 if you could meet anyone on earth dead or alive 
1 10/24/2023 13:18:54 PM	 who would it be 
0 10/24/2023 13:19:12 PM	 Hmmmm
0 10/24/2023 13:19:41 PM	 Can I think about it
1 10/24/2023 13:19:46 PM	 yeah
0 10/24/2023 13:19:47 PM	 Ok give me a minute
0 10/24/2023 13:20:42 PM	 My mom and drake
0 10/24/2023 13:20:48 PM	 Next!!!
1 10/24/2023 13:21:51 PM	 welp 
1 10/24/2023 13:21:54 PM	 now i’m sad 
1 10/24/2023 13:22:00 PM	 ok
1 10/24/2023 13:22:02 PM	 ummm
0 10/24/2023 13:22:26 PM	 Why are you sad
1 10/24/2023 13:22:27 PM	 were do you see yourself in 10 years 
0 10/24/2023 13:22:36 PM	 Dont worry I would choose you over drake
1 10/24/2023 13:22:39 PM	 “my mom” 😢😭
1 10/24/2023 13:22:48 PM	 it wasn’t about that 💀
1 10/24/2023 13:22:59 PM	 where*
0 10/24/2023 13:23:01 PM	 Silly life
1 10/24/2023 13:23:33 PM	 your ass gonna be homeless 😭😭
0 10/24/2023 13:24:20 PM	 Never that 
1 10/24/2023 13:24:24 PM	 ok next question 
0 10/24/2023 13:24:25 PM	 Next
1 10/24/2023 13:25:13 PM	 what’s a place you’d like to visit before you die 
0 10/24/2023 13:26:00 PM	 Madagascar 
0 10/24/2023 13:26:06 PM	 🇲🇬 
0 10/24/2023 13:26:09 PM	 Next !!!!
1 10/24/2023 13:27:03 PM	 when was the last time you cried 
0 10/24/2023 13:27:38 PM	 3 months ago
1 10/24/2023 13:27:44 PM	 why 
0 10/24/2023 13:27:57 PM	 My dad
0 10/24/2023 13:28:08 PM	 I have been on the verge of tearsa couple times tho….
0 10/24/2023 13:28:12 PM	 So maybe that coutns 
1 10/24/2023 13:28:24 PM	 what happened?
1 10/24/2023 13:28:32 PM	 are you ok
0 10/24/2023 13:28:48 PM	 I don’t remember 
0 10/24/2023 13:29:04 PM	 I feel like the only thing that reallu makes me sad is my\nDad
0 10/24/2023 13:29:22 PM	 Other than that I’m usually feeling jolly
1 10/24/2023 02:24:01 AM	 https://www.instagram.com/reel/CwPmR_ZskMJ/
0 10/24/2023 02:27:30 AM	 No don’t worry 
0 10/24/2023 02:27:43 AM	 FUCK THUS STUPIF ASS DOG
0 10/24/2023 02:36:58 AM	 who u ignoring right now.
1 10/24/2023 11:07:04 AM	 ik you loved me 
1 10/24/2023 11:07:15 AM	 i was añswep 
1 10/24/2023 11:07:18 AM	 asleep 
0 10/24/2023 13:13:50 PM	 Mateo.
1 10/24/2023 13:13:56 PM	 what
1 10/24/2023 13:13:58 PM	 hi
0 10/24/2023 13:14:03 PM	 ?
1 10/24/2023 13:14:06 PM	 ?
0 10/24/2023 13:14:09 PM	 Put the attitude away
1 10/24/2023 13:14:25 PM	 😹
1 10/24/2023 13:14:39 PM	 what’s up Adri 
0 10/24/2023 13:14:59 PM	 Ok nevermind since you wanna act foolish
1 10/24/2023 13:15:13 PM	 Adri.
0 10/24/2023 13:15:38 PM	 Can u ask me questions
1 10/24/2023 13:15:45 PM	 ok 
1 10/24/2023 13:15:51 PM	 questions of what nature 
0 10/24/2023 13:16:00 PM	 Whatever u wanna know
0 10/24/2023 13:16:03 PM	 I’m\nBored
1 10/24/2023 13:16:24 PM	 do i look like a goddamn clown to you??? 
0 10/24/2023 13:16:33 PM	 Lmfao….
0 10/24/2023 13:16:35 PM	 Ok go
0 10/24/2023 13:16:37 PM	 Start
1 10/24/2023 13:16:55 PM	 why do you hate your dad 
0 10/24/2023 13:17:27 PM	 I don’t hate him he just isn’t there for me so he’s not relevant to my life 
1 10/24/2023 13:17:40 PM	 how is he not there for you
0 10/24/2023 15:23:15 PM	 So……😂😂😂😂😂😂
1 10/24/2023 15:23:20 PM	 proof?
1 10/24/2023 15:23:32 PM	 haha???
0 10/24/2023 15:23:36 PM	 Pray on it 
0 10/24/2023 15:23:38 PM	 🙏
1 10/24/2023 15:23:42 PM	 😹😹
1 10/24/2023 15:23:49 PM	 wyd 
1 10/24/2023 15:23:53 PM	 are you in school 
0 10/24/2023 15:25:01 PM	 No
0 10/24/2023 15:25:05 PM	 I don’t wanna go tomorrow
0 10/24/2023 15:25:07 PM	 Should i 
0 10/24/2023 15:25:17 PM	 Actually yeah i do I miss my friends
0 10/24/2023 15:25:33 PM	 I’ll be a good student and go to class ❤️
1 10/24/2023 15:25:38 PM	 what are your grades….?
0 10/24/2023 15:26:06 PM	 I only got one subject warning so far
0 10/24/2023 15:26:12 PM	 Ain’t that something….
0 10/24/2023 15:26:17 PM	 Ima pass everything but math 
0 10/24/2023 15:26:23 PM	 That’s okay 
1 10/24/2023 15:27:36 PM	 😭😭
1 10/24/2023 15:27:40 PM	 what math class you taking rn 
0 10/24/2023 13:33:03 PM	 Let me think about it
0 10/24/2023 13:33:49 PM	 Being lowkey futureless
0 10/24/2023 13:33:57 PM	 Like I dont regret it now but I will 
0 10/24/2023 13:34:00 PM	 Maybe 
1 10/24/2023 13:34:07 PM	 this girl from my highschool just walled past me im scared
1 10/24/2023 13:34:12 PM	 😭😭
1 10/24/2023 13:34:24 PM	 you definitely will…
1 10/24/2023 13:34:35 PM	 why don’t you make a change 
0 10/24/2023 13:34:47 PM	 Oh well
0 10/24/2023 13:34:52 PM	 Ima make it work
0 10/24/2023 13:34:55 PM	 I always do!
0 10/24/2023 13:34:59 PM	 Next question 
1 10/24/2023 13:54:36 PM	 what’s a skill you wish you had 
0 10/24/2023 15:16:14 PM	 hello
1 10/24/2023 15:18:34 PM	 what’s up!
0 10/24/2023 15:18:54 PM	 ???
1 10/24/2023 15:18:55 PM	 wyd wya 
0 10/24/2023 15:19:01 PM	 im sad.
1 10/24/2023 15:19:05 PM	 cus of Liz?
0 10/24/2023 15:19:15 PM	 YES CAUSE SHE MAKING MR JEALOUD ON PURPOSE 
0 10/24/2023 15:19:22 PM	 LIKE I HOPE JOSE GETS RAN OVER AND DIES
0 10/24/2023 15:19:27 PM	 so damn annoying
1 10/24/2023 15:19:29 PM	 how is she making you jealous??
0 10/24/2023 15:19:56 PM	 does it look like i gaf about jose
0 10/24/2023 15:19:58 PM	 MO?
0 10/24/2023 15:20:03 PM	 SO WHY SHE SEND ME THAT
1 10/24/2023 15:20:41 PM	 uh 
1 10/24/2023 15:20:50 PM	 idk it doesn’t seem that deep….
0 10/24/2023 15:21:00 PM	 it is deep.
0 10/24/2023 15:21:04 PM	 I DONT PLAU AROUND ABOUT ELIZABETH
0 10/24/2023 15:21:07 PM	 WHY DOES HE THINK
0 10/24/2023 15:21:12 PM	 HES BETTER THSN ME
0 10/24/2023 15:21:22 PM	 he gonna get it once i catch him
0 10/24/2023 15:21:26 PM	 anyway.
1 10/24/2023 15:21:36 PM	 oh so you’re getting replaced… 😹😹
0 10/24/2023 15:21:42 PM	 ???
0 10/24/2023 15:21:45 PM	 im blocking you
1 10/24/2023 15:22:07 PM	 4 piece chicken nugget… 😢
1 10/24/2023 15:22:09 PM	 😓
0 10/24/2023 15:22:18 PM	 You built like a chicken nugget
1 10/24/2023 15:22:23 PM	 ????
0 10/24/2023 15:22:35 PM	 I hope liz swallow a penny and she choke on it
0 10/24/2023 15:22:45 PM	 i hope she dies. 
1 10/24/2023 15:22:52 PM	 hold up again who’s the one in here who eats a whole chocolate cake every day????
1 10/24/2023 15:22:57 PM	 oh yeah that’s right 
1 10/24/2023 15:22:59 PM	 your fatass 
0 10/24/2023 15:23:00 PM	 I don’t rven care f*** tjay b****
0 10/24/2023 15:23:09 PM	 And my waist still snatched
0 10/24/2023 15:28:28 PM	 Calculus I don’t even really know what it is 
0 10/24/2023 15:28:55 PM	 No im ok but i dont try so thats why mu grades aren’t as good as they could be 
1 10/24/2023 15:29:10 PM	 you should try…
1 10/24/2023 15:29:26 PM	 zic the guy in the gc never tried and now he’s working at mcdonald’s 
1 10/24/2023 15:29:33 PM	 and he was smart as well
1 10/24/2023 15:29:41 PM	 i’m taking calc 2 en 
1 10/24/2023 15:29:43 PM	 rn*
0 10/24/2023 15:32:12 PM	 Oh well
0 10/24/2023 15:32:21 PM	 I have enough money to not work ever
0 10/24/2023 15:32:32 PM	 I think I should do something with myself maybe tho
0 10/24/2023 15:32:40 PM	 Maybe one day!
1 10/24/2023 15:42:42 PM	 start a business 
0 10/24/2023 15:50:16 PM	 mateo….
1 10/24/2023 15:51:31 PM	 what’s up shorty 
1 10/24/2023 15:51:38 PM	 what’s clappin’ 
0 10/24/2023 15:54:07 PM	 who r u talking to like this
0 10/24/2023 15:54:21 PM	 put a little respect and etiquette on my name
0 10/24/2023 15:54:27 PM	 im not one of ur hoes. 
1 10/24/2023 16:03:08 PM	 here you go again….
1 10/24/2023 16:03:18 PM	 i got no hoes i told you this already..
1 10/24/2023 16:03:26 PM	 you the only one 
0 10/24/2023 16:03:28 PM	 don’t even
1 10/24/2023 16:05:58 PM	 i’m about to go to the gym 
1 10/24/2023 16:06:00 PM	 wyd?
0 10/24/2023 16:06:17 PM	 im not feeling good 
0 10/24/2023 16:06:22 PM	 Have fun
1 10/24/2023 16:07:25 PM	 what’s wrong?
0 10/24/2023 16:07:45 PM	 nothing in particular 
0 10/24/2023 16:07:49 PM	 See you
1 10/24/2023 16:08:11 PM	 no i’m walking to the gym rn we have time to talk…
0 10/24/2023 16:11:19 PM	 we have nothing to talk about 
1 10/24/2023 16:19:08 PM	 😃😓
1 10/24/2023 18:43:24 PM	 Adri 
0 10/25/2023 00:48:38 AM	 WHERE ARE YOU
1 10/25/2023 10:44:02 AM	 Hi
0 10/25/2023 11:42:04 AM	 k
0 10/25/2023 11:42:09 AM	 ur going on a time out
1 10/25/2023 11:42:19 AM	 ???
1 10/25/2023 11:42:25 AM	 time out from what 
0 10/25/2023 11:18:19 AM	 Mateo…
1 10/25/2023 11:25:27 AM	 if i get chat banned again…
0 10/25/2023 11:25:35 AM	 what are u gonna do
1 10/25/2023 11:25:35 AM	 retarded ass bitch 
0 10/25/2023 11:25:37 AM	 nothing ❤️
0 10/25/2023 11:25:41 AM	 like always 
1 10/25/2023 11:25:45 AM	 😹😹😹
0 10/25/2023 11:25:48 AM	 are u gonna cry
0 10/25/2023 11:25:51 AM	 😭😢😂
1 10/25/2023 11:26:16 AM	 i could tell adri archives to follow everyone from your school 😳😳😳
0 10/25/2023 11:26:33 AM	 i would love to see you try ❤️
1 10/25/2023 11:26:35 AM	 you better pray i’m not banned 🙏🙏
0 10/25/2023 11:26:49 AM	 why would i waste a prayer on you….
0 10/25/2023 11:26:59 AM	 the ego on the men these days
1 10/25/2023 11:26:59 AM	 😹
1 10/25/2023 11:27:07 AM	 go to school 
1 10/25/2023 11:27:08 AM	 bye 
1 10/25/2023 11:30:27 AM	 here buy yourself something nice 
1 10/25/2023 11:30:28 AM	 🙏
0 10/25/2023 11:30:49 AM	 broke ass nigga
0 10/25/2023 11:30:54 AM	 😂😂😂
0 10/25/2023 11:34:12 AM	 MATEO YOY WEIRD ASS BITCH WHY ARE YOU FOLLOWING ALEAH 
0 10/25/2023 11:34:20 AM	 I WILL ROCK YOUR EORLD UP
1 10/25/2023 11:35:02 AM	 who tf is aleah 
1 10/25/2023 11:35:22 AM	 ??
0 10/25/2023 11:36:05 AM	 leave her alone..
1 10/25/2023 11:38:28 AM	 ?
1 10/25/2023 11:38:43 AM	 i wasn’t even aware of her existence before just now..
0 10/25/2023 11:39:06 AM	 ok she don’t need to see adri archives.
0 10/25/2023 11:39:13 AM	 do u get that…
1 10/25/2023 11:39:18 AM	 i don’t run that page…?
0 10/25/2023 11:39:26 AM	 …
0 10/25/2023 11:39:32 AM	 Do i look like a fool to you
1 10/25/2023 11:41:06 AM	 yeah
1 10/25/2023 18:27:26 PM	 hey
1 10/25/2023 18:27:38 PM	 wsg 
1 10/26/2023 11:03:35 AM	 ??
1 10/26/2023 11:03:48 AM	 Adri.
0 10/26/2023 11:08:29 AM	 Yeah
1 10/26/2023 11:16:58 AM	 watch the attitude 
0 10/26/2023 11:29:53 AM	 WHAT TUCKING ATTITUDE
0 10/26/2023 11:30:07 AM	 MATEO DONT START WITH ME THIS WEEK HAS BEEN UPSETYING
1 10/26/2023 12:22:56 PM	 😅 mb 
1 10/26/2023 13:27:39 PM	 hi
1 10/26/2023 13:31:42 PM	 where you typing 
1 10/26/2023 13:31:50 PM	 were*
0 10/26/2023 13:32:23 PM	 Wait am i suppose to get the striped ones in
1 10/26/2023 13:32:57 PM	 yeah 😭
0 10/26/2023 13:33:41 PM	 Why were u getting the striped ones in
