0 12/31/2023 19:15:54 PM	 She has a new love of her life every week
0 12/31/2023 19:16:02 PM	 It’s so sad to see genuinely 
0 12/31/2023 19:16:12 PM	 Don’t piss me off rn
0 12/31/2023 19:16:22 PM	 Do i look stupid😂
1 12/31/2023 19:16:46 PM	 i’m not even lying 
0 12/31/2023 19:16:56 PM	 Okay
1 12/31/2023 19:17:00 PM	 what age do u think i lost my virginity 
0 12/31/2023 19:17:01 PM	 I believe you
0 12/31/2023 19:17:11 PM	 K DINT KNOW BRICH
0 12/31/2023 19:17:28 PM	 WHEN DO U THINK I LOST MINE?……
1 12/31/2023 19:17:50 PM	 15??
1 12/31/2023 19:18:05 PM	 18 ❤️
0 12/31/2023 19:18:29 PM	 Oh so u randomly woke up one day and decided to be a whore gotchu…..
0 12/31/2023 19:18:38 PM	 ??
0 12/31/2023 19:18:46 PM	 No it was on my birthday
0 12/31/2023 19:18:57 PM	 NOT THIS BIRTHDAY
1 12/31/2023 19:19:34 PM	 oh 😂😂
1 12/31/2023 19:19:39 PM	 which one 
1 12/31/2023 19:19:43 PM	 16?
0 12/31/2023 19:19:47 PM	 Yes
0 12/31/2023 19:19:52 PM	 I think
0 12/31/2023 19:19:54 PM	 Yes
1 12/31/2023 19:20:32 PM	 i got my ego boosted because of some unforeseen circumstances during the summer so when i went to school i had a whole different mindset u feel me 😈
0 12/31/2023 19:20:50 PM	 Whatever that means….
0 12/31/2023 19:20:59 PM	 JUST SAY U WERE TIRED OF BEING AN INCEL…
1 12/31/2023 19:21:05 PM	 ???? Nigga??
0 12/31/2023 19:21:10 PM	 ITS OKAY WE ALL HAVE OUR EMBARRASSMENTS IN LIFE
1 12/31/2023 19:21:10 PM	 i was never an incel 😂😂
0 12/31/2023 19:21:16 PM	 😂…
0 12/31/2023 19:21:22 PM	 But anyways 
1 12/31/2023 19:21:33 PM	 idk what makes u think that but sure… 😂😂😂
0 12/31/2023 19:21:53 PM	 …….
0 12/31/2023 19:22:23 PM	 U look like you would put a potato sack over my head and kidnap me when i tell u we can’t fuck
0 12/31/2023 19:22:29 PM	 Genuinely 
0 12/31/2023 19:22:34 PM	 I hope u know that. 
1 12/31/2023 19:22:45 PM	 i won’t have to do that 😂😂
1 12/31/2023 19:23:05 PM	 as soon as we get to ur room it’s gonna be on 😂😂😂😂
0 12/31/2023 19:23:18 PM	 😂😂😂😂😂😂😂😂😂😂
0 12/31/2023 19:23:33 PM	 NO THR FUCK IT AINT GONNA BE TRUST THAT
0 12/31/2023 19:23:38 PM	 WHAT DO I LOOK LIKE?…
1 12/31/2023 19:23:57 PM	 ?????
1 12/31/2023 19:23:59 PM	 ohh 
1 12/31/2023 19:24:14 PM	 you’re saying ur not gonna be able to wait till we get to the room..
0 12/31/2023 19:24:59 PM	 LMFAOOOO BITCH
0 12/31/2023 19:25:29 PM	 YOI THE TYPE OF BITCH TO FUCK IN THE HANDICAPPED BATHROOM AND RHEN ACT SURPRISED WHEN U CATCH AIDS  
0 12/31/2023 19:25:41 PM	 AND DONTTRRF EVEN DENY IT BECAUSE ITS SO TRUE
1 12/31/2023 19:26:08 PM	 LMAOOO
1 12/31/2023 19:26:22 PM	 like be honest with yourself 😂
1 12/31/2023 19:26:58 PM	 just know it’s gonna happen cus i for sure ain’t sleeping on the floor
0 12/31/2023 19:27:32 PM	 😂😂😂OH YES U WILL BE 
0 12/31/2023 19:27:40 PM	 CAUSE WHAT DO I LOOK LIKE SHARING A BED WITH U
0 12/31/2023 19:27:57 PM	 HE PROBABKY GONNA **** ME WHEN IM SLEEPING
0 12/31/2023 19:28:08 PM	 GOD KNOWS WHAT U WOUKD DO……
1 12/31/2023 19:28:32 PM	 like my loving g******** 😂😂😂😂
1 12/31/2023 19:28:51 PM	 so funny how she pretends she don’t want it 😭😭
1 12/31/2023 19:29:05 PM	 cus be honest we both know what’s going down
0 12/31/2023 19:29:50 PM	 I don’t got a clue what ur talking about quite frankly😂
0 12/31/2023 19:30:03 PM	 BUT GO OFF I GUESS!
0 12/31/2023 19:30:08 PM	 Anywayyyyy
1 12/31/2023 19:31:15 PM	 i can’t wait to be pumping deep inside this hoe 😭😭😭😂
1 12/31/2023 19:31:19 PM	 anywayszz
0 12/31/2023 19:33:02 PM	 😂😂😂 AS IF
0 12/31/2023 19:33:10 PM	 ANYWAYS😂😬
0 12/31/2023 19:33:21 PM	 LETS DO SOMETHINGBEFORE I SLEEP
1 12/31/2023 19:33:33 PM	 just u wait till i get my hands on u.
1 12/31/2023 19:33:37 PM	 WHAT
0 12/31/2023 19:34:38 PM	 WHAT CAN WE DO. 
0 12/31/2023 19:34:42 PM	 Ok let me think this thru
0 12/31/2023 19:34:56 PM	 Let me look up things to do with ur bestie over thr phone
1 12/31/2023 19:35:23 PM	 idk maybe you could start off by sending me a cute pic like you said you were gonna do earlier today..
0 12/31/2023 19:36:12 PM	 I never said i would do that and if i did it was a demon possessing me cause why on EARTH😂😂😂😂😂would i agree to that knowing the person u are…
0 12/31/2023 19:36:29 PM	 But im gonna post anyway probably this week 
1 12/31/2023 19:37:41 PM	 why do i have to beg my girl to send me pics..
1 12/31/2023 19:37:56 PM	 i’m not doing anything with them what kinda person do you think i am 😭
1 12/31/2023 19:38:06 PM	 didn’t we discuss this already.
0 12/31/2023 19:38:17 PM	 UR GIRL?….😂😳👅
0 12/31/2023 19:38:31 PM	 Ugh shut up ima do what i want to.
0 12/31/2023 19:38:45 PM	 AND IFS NOT LIKE I ENTERTAIN THE HOE WHO SLIDE UP ANYWAY
1 12/31/2023 19:39:58 PM	 yeah like this isn’t about being “easy” it’s just an innocent picture
1 12/31/2023 19:40:05 PM	 sometimes i think u hate me..
0 12/31/2023 19:40:28 PM	 I mnow what ima do…
0 12/31/2023 19:40:38 PM	 Ima download discord again
1 12/31/2023 19:40:44 PM	 why
0 12/31/2023 19:40:46 PM	 And im gonna join
0 12/31/2023 19:40:48 PM	 Furry servrrs 
0 12/31/2023 19:40:54 PM	 And act like one of them
0 12/31/2023 19:41:03 PM	 WAIT
0 12/31/2023 19:41:06 PM	 BETTER IDEA
1 12/31/2023 19:41:07 PM	 unemployed activities.
0 12/31/2023 19:41:11 PM	 DATING FURRY SERVER
0 12/31/2023 19:41:19 PM	 AND IN GONNA REDIRECT GHEM TO YOU
1 12/31/2023 19:41:23 PM	 ????
0 12/31/2023 19:41:28 PM	 YUPPPPPP😂😂😂😂😂THAT THE ONE
0 12/31/2023 19:41:31 PM	 OK LET ME DO THIS. 
1 12/31/2023 19:41:44 PM	 did u find anything?
0 12/31/2023 19:41:51 PM	 My name has a bad word in it do you think they’re gonna kick me out because if it
1 12/31/2023 19:41:58 PM	 what’s ur name 
0 12/31/2023 19:42:00 PM	 No it was all boring stuff
0 12/31/2023 19:42:14 PM	 U mmmm I have u on it I think
1 12/31/2023 19:42:27 PM	 i’ve looked up the same thing before so i know.. 😳
0 12/31/2023 19:42:40 PM	 Why did u UNFRIEND me 
0 12/31/2023 19:42:43 PM	 Bitch ass nigga
1 12/31/2023 19:43:25 PM	 ok but this isn’t fair why do i have to wait like all the other niggas.. 😂😂😂
1 12/31/2023 19:43:38 PM	 JUST SENT ME A CUTE PIC it’s not that deep.
1 12/31/2023 19:43:59 PM	 we were mad back then.. 
1 12/31/2023 19:44:20 PM	 like i should be getting premiere access 😂😂😂
0 12/31/2023 19:44:55 PM	 …….U not that special baby  
0 12/31/2023 19:45:13 PM	 Don’t argue with me right now❤️
1 12/31/2023 19:45:51 PM	 ?😂ok
0 12/31/2023 19:46:01 PM	 Ok❤️
0 12/31/2023 19:46:06 PM	 Can u add me back
1 12/31/2023 19:46:15 PM	 i don’t have discord
0 12/31/2023 19:47:27 PM	 Why are you laughing 
0 12/31/2023 19:48:43 PM	 Hello
0 12/31/2023 19:49:06 PM	 HELLO
0 12/31/2023 19:49:16 PM	 Okay im going to sleep then im really tired
0 12/31/2023 19:52:16 PM	 Mateo stop
0 12/31/2023 19:52:26 PM	 I don’t want to fall asleep while you’re mad at me
0 12/31/2023 19:52:35 PM	 What is the problem
1 12/31/2023 19:53:46 PM	 nothing 
1 12/31/2023 19:53:50 PM	 goodnight adri
0 12/31/2023 19:54:07 PM	 Are you sure
1 12/31/2023 19:54:14 PM	 i **** *
0 12/31/2023 19:54:30 PM	 Because I would rather resolve it than have u upset at me like this
0 12/31/2023 19:54:41 PM	 Okay i love you goodnight mateo
0 12/31/2023 19:54:49 PM	 I’ll text you right when i wake up
1 12/31/2023 19:55:06 PM	 no it’s fine i’m not that special to u anyway 
1 12/31/2023 19:56:33 PM	 i love u adri goodnight have sweet dreams baby 
0 12/31/2023 19:56:52 PM	 I don’t like that you’re trying to make me feel bad or guilty whilst im sat here genuinely wanting to be better for you cause What
0 12/31/2023 19:57:06 PM	 Goodnight mateo
1 12/31/2023 19:57:49 PM	 oh we turning the tables on me now 😂\nmaybe don’t say stuff like that
1 12/31/2023 19:58:03 PM	 OK LETS STOP
0 12/31/2023 19:58:04 PM	 No im just saying 
1 12/31/2023 19:58:09 PM	 NO MORE ARGUING 
0 12/31/2023 19:58:14 PM	 Okay
1 12/31/2023 19:58:26 PM	 can we say goodnight again
0 12/31/2023 19:58:49 PM	 Im not even arguing im just saying what i think u trying to do is weird and it isnt gonna work on me
0 12/31/2023 19:58:52 PM	 Okay
0 12/31/2023 19:59:05 PM	 Goodnight mateo
1 12/31/2023 19:59:06 PM	 sorry
1 12/31/2023 19:59:18 PM	 Goodnight adri 😘
1 12/31/2023 19:59:43 PM	 i won’t push u again it’s just that sometimes i want more from u you know 😭
0 12/31/2023 19:59:59 PM	 That’s too bad then ❤️
0 12/31/2023 20:00:05 PM	 Im going to sleep now Bye
1 12/31/2023 20:00:58 PM	 because i’ve never felt for anyone like i do for you..
0 12/31/2023 20:01:22 PM	 Do you mean that when you say it
0 12/31/2023 20:01:39 PM	 Because if you don’t genuinely don’t talk to me like that
0 12/31/2023 20:01:49 PM	 If you’re just saying things
1 12/31/2023 20:02:07 PM	 yes adri i told you id never hurt you
1 12/31/2023 20:02:23 PM	 this sounds corny as hell but like 
1 12/31/2023 20:02:34 PM	 i get happy just by thinking of u..
0 12/31/2023 20:04:27 PM	 Okay but i want you to know that if you switch up after saying things like that then we’re genuinely gonna have a problem because I don’t appreciate when people say things just to say them
0 12/31/2023 20:04:32 PM	 But I believe you
0 12/31/2023 20:04:42 PM	 And im putting my trust in you
1 12/31/2023 20:04:51 PM	 and i know you said you don’t wanna get attached and all but it’s not fair because at this rate i’m gonna get attached myself..
1 12/31/2023 20:05:18 PM	 i know i joke around sometimes but i told you id never hurt you
0 12/31/2023 20:05:26 PM	 U can’t get attached
1 12/31/2023 20:05:37 PM	 why not 
0 12/31/2023 20:05:40 PM	 I’ve told you this before and im gonna tell u it again
0 12/31/2023 20:06:04 PM	 Nobody in the world is forever so I don’t want you to set your expectations for me at an unreasonable height 
0 12/31/2023 20:06:49 PM	 Because i don’t want to end up disappointing you 
0 12/31/2023 20:07:16 PM	 And I know thats not what you wanna hear but its the truth and im not gonna sit here and lie to you and say we’re gonna be in each others lives forever
0 12/31/2023 20:07:20 PM	 Cause we’re not
0 12/31/2023 20:07:41 PM	 And I think you need to come around to accepting that fact just like I have
1 12/31/2023 20:10:20 PM	 i know there’s stuff that you’ve been through that for you to have that point of view on things but i still want us to be something \n\nand i know that it might not workout and that you might end up hurting me 
1 12/31/2023 20:10:58 PM	 but that’s fine i’ll take the hurt as long as it means we’re together in the present 
1 12/31/2023 20:11:03 PM	 because ily
0 12/31/2023 20:11:24 PM	 AW SWEETIE PIE😭😭😭😭❤️❤️❤️❤️❤️
1 12/31/2023 20:11:33 PM	 u can hurt me all you want 😂😭😭
0 12/31/2023 20:11:55 PM	 Ok i love u we r perfect there’s nothing wrong w us
0 12/31/2023 20:12:02 PM	 WE ARE NORMAL AS FUCK
0 12/31/2023 20:12:13 PM	 Should i sleep or stay up idk….
1 12/31/2023 20:12:20 PM	 let’s sleep on this..
1 12/31/2023 20:12:28 PM	 i’m about to go out anyway 
1 12/31/2023 20:12:34 PM	 goodnight Adri ♥️
0 12/31/2023 20:12:41 PM	 Ok u right it’s 4 in the morning I need to take my ass to bed
0 12/31/2023 20:12:49 PM	 Goodnight mateo!!!!
0 12/31/2023 20:12:53 PM	 Ima text u in the morning
0 12/31/2023 22:46:17 PM	 Mateo r u awake
1 12/31/2023 22:49:01 PM	 yes adri
0 12/31/2023 22:49:26 PM	 Okay text me when ur home
0 01/01/2024 10:07:23 AM	 hello…
1 01/01/2024 10:16:38 AM	 what’s with the …
0 01/01/2024 10:17:01 AM	 NOTHING
0 01/01/2024 10:17:10 AM	 🎊🎊🎊🎉🎉🎉🎉🎉🌈🌈
1 01/01/2024 10:17:12 AM	 we supposed to believe you were asleep for 12 hours 😂\ntext you when i wake up my ass….
0 01/01/2024 10:17:14 AM	 Today is a good day ok
0 01/01/2024 10:17:21 AM	 I WAS?….
1 01/01/2024 10:17:22 AM	 👍 ok
0 01/01/2024 10:17:24 AM	 Ok wait 
0 01/01/2024 10:17:30 AM	 When did I fall asleep
0 01/01/2024 10:17:43 AM	 AT LIKE 7
1 01/01/2024 10:17:48 AM	 like around here i guess
0 01/01/2024 10:18:10 AM	 Why did I sleep so much that’s not even funny
0 01/01/2024 10:18:16 AM	 THATS A WHOLE ASS HALF A DAY
0 01/01/2024 10:18:20 AM	 HAKF MT DAY GONE
1 01/01/2024 10:18:24 AM	 that’s what i’m saying 😭😭
0 01/01/2024 10:18:32 AM	 Ok today we gonna fix it FOR REAL
1 01/01/2024 10:18:34 AM	 i missed u
0 01/01/2024 10:18:41 AM	 And im gonna sleep ON TIME
0 01/01/2024 10:19:04 AM	 ME TOOBITCH I WAS WAITING FOR U BUT I FELL ASLEEP BEFORE U CAME BACK…
0 01/01/2024 10:19:12 AM	 But anywho
0 01/01/2024 10:21:01 AM	 WTF?
0 01/01/2024 10:21:10 AM	 Oh my gosh yesterday I had a dream and u we’re in it
1 01/01/2024 10:21:11 AM	 what is this??? 😭
0 01/01/2024 10:21:14 AM	 It was so weird 
1 01/01/2024 10:21:21 AM	 what were we doing 
0 01/01/2024 10:21:25 AM	 Pee mojo
0 01/01/2024 10:21:39 AM	 IT WAA NOTHING FREAKY SO DONT GET YOUR HOPES UP
1 01/01/2024 10:22:05 AM	 i woke up at like 4 am cus i had to pee and then i couldn’t fall back asleep for a while because i started thinking of u..
0 01/01/2024 10:22:22 AM	 STOP REALLY
1 01/01/2024 10:22:23 AM	 this hoe making me lose sleep even when we’re not talking 😂😂😂😂😂
0 01/01/2024 10:22:28 AM	 SO CUTE😭😭😭❤️❤️❤️❤️
0 01/01/2024 10:22:35 AM	 😂😂😂🙌🙌🙌
0 01/01/2024 10:22:40 AM	 BUT ANYWAY
0 01/01/2024 10:22:46 AM	 u know that Indian fuy 
1 01/01/2024 10:22:49 AM	 what was the dream!
0 01/01/2024 10:22:58 AM	 he was  our teacher idk why but he was 
0 01/01/2024 10:23:09 AM	 THE DUCKING GAY ONE
0 01/01/2024 10:23:27 AM	 and wewere in new gork 
0 01/01/2024 10:23:38 AM	 AND WE WWERE PLAYING UNO IN THE CLASSROOM??…
1 01/01/2024 10:23:45 AM	 was i winning
0 01/01/2024 10:23:50 AM	 ….
1 01/01/2024 10:23:54 AM	 then it wasn’t me 😂😂
1 01/01/2024 10:23:56 AM	 🤑
0 01/01/2024 10:23:58 AM	 “THEN IT WASNT ME😂😂😂
0 01/01/2024 10:24:00 AM	 LMFOAOAOAOAA SHUT UP
1 01/01/2024 10:24:08 AM	 LMAOOOO
1 01/01/2024 10:24:21 AM	 she know me so well.. 😢
0 01/01/2024 10:24:35 AM	 idk that was such a strange dream cause it was like INDEPTH FOR LIKE A LONG ASS TIME I THIUGHT IT WAS REAL
0 01/01/2024 10:24:42 AM	 But anyway
1 01/01/2024 10:25:07 AM	 i can’t catch a break this the second day in a row she dreaming about me..
0 01/01/2024 10:25:37 AM	 BITCH BE HUMBLE😂😂😂THERE WAS OTHER MEN IN THAT DREAM TOO SO U NOT ONE OF A KIND…
0 01/01/2024 10:25:45 AM	 But ANYWHO😂😂😂
0 01/01/2024 10:25:57 AM	 what are we doing today.
1 01/01/2024 10:26:54 AM	 i think i’m gonna go smoke with a friend if shes free if not then friday
1 01/01/2024 10:26:56 AM	 wbu
1 01/01/2024 10:30:52 AM	 hello???
0 01/01/2024 10:30:58 AM	 Hi
0 01/01/2024 10:31:19 AM	 Im probably gonna go out cause im bored 
0 01/01/2024 10:31:23 AM	 But idk we will see
0 01/01/2024 10:31:29 AM	 Anyway
0 01/01/2024 10:31:37 AM	 Let’s do somerhing 
1 01/01/2024 10:33:24 AM	 when was the last time you DIDNT go out.. 😂
1 01/01/2024 10:33:33 AM	 ok wait let me look up stuff to do
0 01/01/2024 10:34:22 AM	 Who knows😂😂
0 01/01/2024 10:34:27 AM	 Ok
1 01/01/2024 10:34:48 AM	 do u gave a bong
0 01/01/2024 10:35:01 AM	 Not with me
0 01/01/2024 10:35:04 AM	 But they sell them
0 01/01/2024 10:35:06 AM	 Like everywhere
1 01/01/2024 10:35:32 AM	 u should get one for when we meet up
0 01/01/2024 10:36:00 AM	 I have a few
0 01/01/2024 10:36:07 AM	 But ima get a cute one this time
1 01/01/2024 10:36:12 AM	 ofc you do 😂
1 01/01/2024 10:36:23 AM	 wanna play never have i ever
0 01/01/2024 10:36:30 AM	 😂
0 01/01/2024 10:36:34 AM	 Ok sure
1 01/01/2024 10:36:40 AM	 ok u start
0 01/01/2024 10:39:29 AM	 Ummm
0 01/01/2024 10:39:33 AM	 No u start
1 01/01/2024 10:40:24 AM	 how do u even play this over text 
1 01/01/2024 10:41:11 AM	 never have i ever fucked in a sleeping bag??
0 01/01/2024 10:41:19 AM	 ??????????
0 01/01/2024 10:41:30 AM	 How do you fuck in a sleeping bag
0 01/01/2024 10:41:41 AM	 NO I HAVE NEVER U FUCKING FREAK
1 01/01/2024 10:41:46 AM	 she never been camping..? 😂
0 01/01/2024 10:42:01 AM	 😂😂BROKE BITCH ACTIVITY
1 01/01/2024 10:42:09 AM	 GO OUTSIDE 
1 01/01/2024 10:42:12 AM	 touch grass..
0 01/01/2024 10:42:24 AM	 OF COURSE U BE FUCKING IN TENTS😂😂😂😂😂HES ONE WITH NATURE I GUESS…
0 01/01/2024 10:42:26 AM	 BEXT
1 01/01/2024 10:42:41 AM	 never have i ever had a fake id?
0 01/01/2024 10:43:40 AM	  Yes but then i lost it…
0 01/01/2024 10:44:02 AM	 IN A GHETTO ASS BATHROOM TOO I WASNT GONNA GO LOOKING FOR IT
1 01/01/2024 10:44:43 AM	 what were u doing in ghetto bathrooms .. 😂
1 01/01/2024 10:44:57 AM	 how did it even work u look like you’re 15
0 01/01/2024 10:45:06 AM	 😂😂😂..
0 01/01/2024 10:45:20 AM	 I feel like they always knew but they let m in anyway
0 01/01/2024 10:45:30 AM	 Cause you know🙌😂
1 01/01/2024 10:45:44 AM	 ur turn
0 01/01/2024 10:47:21 AM	 Have u ever lied to a bitch cause she was ugly so u didnt have to meet her
1 01/01/2024 10:47:53 AM	 no i just tell them they’re fat to they face
1 01/01/2024 10:47:57 AM	 have you
0 01/01/2024 10:48:44 AM	 ??????????
0 01/01/2024 10:48:46 AM	 THATS SO MEAN
1 01/01/2024 10:49:09 AM	 “new to being pretty” 😭😭🙏
0 01/01/2024 10:49:30 AM	 OH…….
0 01/01/2024 10:49:35 AM	 LMFOAAOAOAOAO
0 01/01/2024 10:49:43 AM	 STOP AHES PROBABLY A GOOD PERSON…
0 01/01/2024 10:49:48 AM	 next…..
1 01/01/2024 10:50:08 AM	 have you ever been questioned by police
0 01/01/2024 10:50:20 AM	 Yes
0 01/01/2024 10:50:28 AM	 Like more times than i should have been
0 01/01/2024 10:50:33 AM	 Next…..
1 01/01/2024 10:50:50 AM	 ?? are we not sharing 
1 01/01/2024 10:50:57 AM	 tell me at least 3 times
0 01/01/2024 10:51:09 AM	 HELL NO😂😂😂
0 01/01/2024 10:51:12 AM	 ITS TOO MICH….
0 01/01/2024 10:51:17 AM	 let’s not get into that….
0 01/01/2024 10:51:23 AM	 ok let me find a question 
1 01/01/2024 10:51:54 AM	 no tell me 
1 01/01/2024 10:52:05 AM	 i wonder what you’ve been up to.. 😂
0 01/01/2024 10:52:47 AM	 HAVE YOU EVER CAUGHT SOMEONE F******…..
1 01/01/2024 10:53:06 AM	 no
1 01/01/2024 10:53:13 AM	 but i’ve been caught myself 
0 01/01/2024 10:54:00 AM	 OH ?….
0 01/01/2024 10:54:03 AM	 ELABORATE
1 01/01/2024 10:54:12 AM	 because i was in this girls dorm ******* quietly and she told me her roommate was not gonna wake up because she had a concconcussion but i was like 100% sure she heard the whole thing 😭
1 01/01/2024 10:54:21 AM	 concussion 
0 01/01/2024 10:54:42 AM	 LMFAOOOO OH MY GOSH??????
0 01/01/2024 10:54:57 AM	 Was the roommate a girl 
1 01/01/2024 10:55:04 AM	 yeah duh 
0 01/01/2024 10:55:14 AM	 O yea they were lying……
0 01/01/2024 10:55:24 AM	 THAT GIRL DID NOT BAVE A CONCUSSION😭😭😭😭😭😭😭😭😭😭😭
0 01/01/2024 10:55:33 AM	 LMFOAOAOAAOA WHAT THE FUCK ARE U RETARDED HOW DID U BELIEVE THAT
1 01/01/2024 10:55:43 AM	 no she actually did 
0 01/01/2024 10:55:50 AM	 HOW DO YOU KNOW?…
1 01/01/2024 10:56:04 AM	 she was in like some D1 sport and she got hit or something 
1 01/01/2024 10:56:07 AM	 i don’t remember 
0 01/01/2024 10:57:02 AM	 YIKESSSS
0 01/01/2024 10:57:05 AM	 NEXT…..
1 01/01/2024 10:57:13 AM	 ur turn 
0 01/01/2024 10:57:24 AM	 LMFAO ???????OH MY GOSH
0 01/01/2024 10:57:33 AM	 HE CANT STOP THINKING ABOUT ME😂😂😂
0 01/01/2024 10:57:40 AM	 NO ITS YOUR TURN
1 01/01/2024 10:58:22 AM	 have u ever had to get stitches 
1 01/01/2024 10:58:29 AM	 ??? u wish 😂😂
1 01/01/2024 10:58:39 AM	 i just like the cats that’s it..
0 01/01/2024 10:59:05 AM	 Everytime u draw one of them cats u gonna be thinking of me😂😂😂😂😂😂😂😂😂😂UR WELCOME
0 01/01/2024 10:59:11 AM	 Ummmmm
0 01/01/2024 10:59:15 AM	 I think I’ve had to
0 01/01/2024 10:59:18 AM	 But i never did
1 01/01/2024 10:59:32 AM	 have u ever been hospitalized 
1 01/01/2024 10:59:38 AM	 me neither 
0 01/01/2024 11:00:21 AM	 ……😂😂😂😂
0 01/01/2024 11:00:25 AM	 U know dsmn well
0 01/01/2024 11:00:34 AM	 Next
1 01/01/2024 11:01:29 AM	 for what 😱😱
0 01/01/2024 11:02:26 AM	 THIS NIGGA SAYING WHATS GOOD TO HIS EMPLOYER
0 01/01/2024 11:02:34 AM	 ITS DONEEE😭😭😭😭😭😭😭😭😭😭
1 01/01/2024 11:02:38 AM	 LMAOOO
0 01/01/2024 11:02:40 AM	 Next…..
1 01/01/2024 11:02:45 AM	 he’s a friend from high school 
1 01/01/2024 11:03:04 AM	 it’s ur turn u tard 
0 01/01/2024 11:04:29 AM	 Have u ever got 
0 01/01/2024 11:04:34 AM	 Locked out ur own house
1 01/01/2024 11:05:14 AM	 yeah all the time back in my old house i used to have go in through the doggy door to get in 
1 01/01/2024 11:05:17 AM	 have u 
0 01/01/2024 11:05:51 AM	 LMFAOOOOOOOOO
0 01/01/2024 11:05:56 AM	 LIKE THE DOG U IS😂😂😂😂😂
0 01/01/2024 11:06:20 AM	 Yes one time my cat literally closed the door on me AND I DAMN NEAR GOT GROOMED CAUSE IF IT
1 01/01/2024 11:06:35 AM	 the cat knew what it was doing 😭😭🙏
0 01/01/2024 11:07:51 AM	 Right I put that bitch on a diet for a week after that to show him I don’t play around
0 01/01/2024 11:07:52 AM	 NEXT
1 01/01/2024 11:08:20 AM	 have u ever gotten poison ivy poisoning 
0 01/01/2024 11:09:18 AM	 Is that real
0 01/01/2024 11:09:23 AM	 I thought that was in lik movies
1 01/01/2024 11:09:27 AM	 ??
1 01/01/2024 11:09:31 AM	 yeah retard 😭
0 01/01/2024 11:09:37 AM	 ITS CAUSE UR ALWAYS IN THE FUCKING FOREST THINKING YOU TARZAN OR SOME SHIT
1 01/01/2024 11:09:39 AM	 i got it like last year 
0 01/01/2024 11:09:52 AM	 STAY THE FUCK INSIDE AND U NOT GONNA CATCH POSION IVY
1 01/01/2024 11:09:55 AM	 it was while i was working 🤑🤑🤑
1 01/01/2024 11:10:03 AM	 wait i think i have a pic 
0 01/01/2024 11:10:12 AM	 Since when this man getting hired anywhere😂😂😂😂
0 01/01/2024 11:11:03 AM	 OH MY GOSH?????
1 01/01/2024 11:10:44 AM	 Error
0 01/01/2024 11:11:08 AM	 JS THAT REAL
1 01/01/2024 11:11:14 AM	 yes nigga 🙏
0 01/01/2024 11:11:14 AM	 HOW U LET THAT HAPPEN?….
0 01/01/2024 11:11:25 AM	 ??…..Why is u using this word with me 
1 01/01/2024 11:11:28 AM	 it doesn’t hurt it just itches like hell
0 01/01/2024 11:11:48 AM	 I could never I would itch it until I started bleeding
1 01/01/2024 11:11:52 AM	 if u ever get poison ivy wash it in scolding hot water 🤤🤤🤤🤤🤤🤤🤤
1 01/01/2024 11:11:56 AM	 it feels so good 
1 01/01/2024 11:12:09 AM	 next!
0 01/01/2024 11:12:53 AM	 I wont cause im not in the fucking forest everyday doing god knows what like u are…. 
0 01/01/2024 11:12:58 AM	 Ok wait
1 01/01/2024 11:14:40 AM	 ?😂
1 01/01/2024 11:15:12 AM	 feels like it was 2 years ago 😭
0 01/01/2024 11:18:51 AM	 I dont even remember 2017
0 01/01/2024 11:18:55 AM	 How old was I then 
1 01/01/2024 11:19:02 AM	 10
0 01/01/2024 11:19:05 AM	 I do not remember anything before the year 2019
0 01/01/2024 11:19:09 AM	 Like really 
1 01/01/2024 11:19:18 AM	 she tryna forget the trauma 😭
0 01/01/2024 11:19:20 AM	 REALLT WHAT THE HELL
1 01/01/2024 11:19:26 AM	 yeah that’s what i’m saying 
0 01/01/2024 11:19:26 AM	 ……BUTCH
0 01/01/2024 11:19:34 AM	 OKAY NEXT QUESTION
1 01/01/2024 11:19:39 AM	 hmm
1 01/01/2024 11:19:56 AM	 have u ever had sex on the first date 
0 01/01/2024 11:20:05 AM	 No
0 01/01/2024 11:20:14 AM	 Im not that kind of girl 
0 01/01/2024 11:20:16 AM	 UNLIKE SOMEONE
0 01/01/2024 11:20:20 AM	 ……..YIKESSSSSSS
0 01/01/2024 11:20:35 AM	 TALK ABOUT RUNNING THRU😂😬😬😬
1 01/01/2024 11:21:23 AM	 😂😂😳
1 01/01/2024 11:21:35 AM	 it wasn’t really up to me
0 01/01/2024 11:21:44 AM	 SO U GOT RAPED OR?…..
1 01/01/2024 11:22:06 AM	 i was sharing a bed with her against my will it was bound to happen
0 01/01/2024 11:24:45 AM	 JUST SAY U GOT NO SELF CONTROL AND LEAVE IT AT FHAT…..
0 01/01/2024 11:24:53 AM	 Men will be men…..Are we surprised…..
1 01/01/2024 11:26:57 AM	 as if the same thing ain’t gonna happen when we go to sleep 😂😂
0 01/01/2024 11:27:16 AM	 TRUST IT WONT BITCH😂😂😂😂😂
0 01/01/2024 11:27:23 AM	 U SLEEPING ON THE FLOOR…
0 01/01/2024 11:27:35 AM	 THE COUCH IF IM IN A JOLLY MOOD..
1 01/01/2024 11:33:54 AM	 it’s so funny how she try to act all dominant 😭😭😭😭😂
0 01/01/2024 11:38:55 AM	 LMFAO SHUT UP
0 01/01/2024 11:39:00 AM	 ANYWAYYYYY
0 01/01/2024 11:39:08 AM	 I DONT KNOW WHAT THIS IS😂😂😂😂
